,,,,
打卡类消息,（用户）打卡ID,,,
,任务ID,,,
,打卡时间,,,
,本次是第几次打卡,,,
,自定义图片,,可选,
,自定义文字,,可选,
,是否对外发布,bool,,
,评论表,,,
